algo,n,trial,ns,comparisons,arrayAccesses,allocations,maxSum,start,end
Kadane,100,1,14000,198,100,0,3022,77,84
Kadane,100,2,16600,198,100,0,5857,7,46
Kadane,100,3,10600,198,100,0,6842,38,94
Kadane,100,4,11500,198,100,0,4258,45,80
Kadane,100,5,7800,198,100,0,5634,66,89
Kadane,1000,1,86800,1998,1000,0,12074,826,985
Kadane,1000,2,77900,1998,1000,0,27370,17,470
Kadane,1000,3,70400,1998,1000,0,11497,346,438
Kadane,1000,4,62400,1998,1000,0,17055,272,448
Kadane,1000,5,61300,1998,1000,0,23306,0,272
Kadane,10000,1,567100,19998,10000,0,113481,478,8846
Kadane,10000,2,491900,19998,10000,0,48428,6322,7859
Kadane,10000,3,498500,19998,10000,0,40249,6676,7823
Kadane,10000,4,525500,19998,10000,0,74236,6442,9832
Kadane,10000,5,484500,19998,10000,0,61285,2131,4289
Kadane,100000,1,1719900,199998,100000,0,182635,18867,72072
Kadane,100000,2,913600,199998,100000,0,168159,76688,99162
Kadane,100000,3,198100,199998,100000,0,291460,678,96593
Kadane,100000,4,946800,199998,100000,0,219465,27413,63888
Kadane,100000,5,1061500,199998,100000,0,373808,19447,96003
